Airport,Date/time,Wind_direction,Wind_speed,Gust_speed,QNH
ENBO,240020Z,240,23,,1009
ENBO,250020Z,110,10,,1010
ENBO,260020Z,260,11,,1017
ENBO,270020Z,70,3,,1017
ENBO,280020Z,90,14,,1006
ENBO,290020Z,60,7,,0998
ENBO,300020Z,230,24,,1000
ENBO,010020Z,100,12,,1003
ENBO,020020Z,250,16,,0999
ENBO,030020Z,260,11,,0999
ENBO,040020Z,10,3,,1001
ENBO,050020Z,100,14,,0996
ENBO,060020Z,110,7,,0992
ENBO,070020Z,250,8,,0997
ENBO,080020Z,270,12,,0999
ENBO,090020Z,310,6,,1013
ENBO,100020Z,250,11,,1023
ENBO,110020Z,110,12,,1016
ENBO,120020Z,320,4,,1011
ENBO,130020Z,100,3,,1019
ENBO,140020Z,350,3,,1016
ENBO,150020Z,110,6,,1012
ENBO,160020Z,100,15,,1011
ENBO,170020Z,110,7,,1014
ENBO,180020Z,0,0,,1012
ENBO,190020Z,260,6,,1015
ENBO,200020Z,320,5,,1018
ENBO,210020Z,110,15,,1014
ENBO,220020Z,100,11,,1009
ENBO,230020Z,150,5,,1010
ENBO,240020Z,320,6,,1015
ENBO,250020Z,310,3,,1016
ENBO,260020Z,110,11,,1005
ENBO,270020Z,0,2,,1005
ENBO,280020Z,300,10,,1011
ENBO,290020Z,260,7,,1018
ENBO,300020Z,130,2,,1018
ENBO,310020Z,100,9,,1009
ENBO,010020Z,230,20,,1010
ENBO,020020Z,180,3,,1014
ENBO,030020Z,110,6,,1012
ENBO,040020Z,110,12,,1009
ENBO,050020Z,110,13,,1011
ENBO,060020Z,100,13,,1013
ENBO,070020Z,100,11,,1012
ENBO,080020Z,130,11,,1007
ENBO,090020Z,100,12,,1002
ENBO,100020Z,130,12,,0994
ENBO,110020Z,100,10,,0995
ENBO,120020Z,250,12,,1006
ENBO,130020Z,100,4,,1016
ENBO,140020Z,100,15,,1010
ENBO,150020Z,280,8,,1010
ENBO,160020Z,90,2,,0995
ENBO,170020Z,160,7,,1002
ENBO,180020Z,170,7,,1003
ENBO,190020Z,100,8,,0999
ENBO,200020Z,150,7,,1008
ENBO,210020Z,310,6,,1002
ENBO,220020Z,100,12,,1002
ENBO,230020Z,140,10,,0991
ENBO,240020Z,90,14,,0985
ENBO,250020Z,100,13,,0998
ENBO,260020Z,170,12,,0997
ENBO,270020Z,240,31,,0999
ENBO,280020Z,100,13,,1011
ENBO,290020Z,90,8,,1019
ENBO,300020Z,110,16,,1005
ENBO,310020Z,260,11,,1016
ENBO,010020Z,280,11,,1028
ENBO,020020Z,90,5,,1026
ENBO,030020Z,80,8,,1022
ENBO,040020Z,140,6,,1017
ENBO,050020Z,280,13,,1026
ENBO,060020Z,110,7,,1027
ENBO,070020Z,230,8,,1018
ENBO,080020Z,120,15,,1016
ENBO,090020Z,110,8,,1003
ENBO,100020Z,250,8,,0994
ENBO,110020Z,260,9,,0993
ENBO,120020Z,140,6,,0989
ENBO,130020Z,140,7,,1007
ENBO,140020Z,210,12,,1018
ENBO,150050Z,110,8,,1021
ENBO,160020Z,110,9,,1019
ENBO,170020Z,240,18,,1024
ENBO,180020Z,240,27,,1022
ENBO,190020Z,220,24,,1024
ENBO,200020Z,290,20,,1028
ENBO,210020Z,310,18,,1026
ENBO,220020Z,180,6,,1026
ENBO,230020Z,90,12,,1014
ENBO,240020Z,90,8,,1003
ENBO,250020Z,190,7,,0999
ENBO,260020Z,100,3,,0987
ENBO,270020Z,360,9,,0994
ENBO,280020Z,200,9,,0991
ENBO,290020Z,300,16,,0996
ENBO,300020Z,280,11,,1017
ENBO,010020Z,240,33,,1008
ENBO,020020Z,260,12,,1020
ENBO,030020Z,120,10,,1014
ENBO,040020Z,300,19,,1014
ENBO,050020Z,190,6,,1014
ENBO,060050Z,100,9,,1011
ENBO,070020Z,100,10,,1013
ENBO,080020Z,110,20,,1012
ENBO,090020Z,90,11,,1001
ENBO,100020Z,100,7,,0986
ENBO,110020Z,120,4,,0989
ENBO,120020Z,200,15,,0994
ENBO,130020Z,150,14,,1002
ENBO,140020Z,250,11,,1007
ENBO,150020Z,300,20,,1011
ENBO,160020Z,240,21,,1010
ENBO,170020Z,100,17,,1011
ENBO,180020Z,110,10,,1002
ENBO,190020Z,110,6,,1012
ENBO,200020Z,100,18,,1012
ENBO,210020Z,100,19,,1000
ENBO,220020Z,250,32,44,0994
ENBO,230020Z,200,13,,0995
ENBO,240020Z,220,7,,1008
ENBO,250020Z,220,29,,1006
ENBO,260020Z,280,20,,1011
ENBO,270020Z,100,21,,1000
ENBO,280020Z,250,22,,0993
ENBO,290020Z,270,23,,1007
ENBO,300020Z,300,40,50,0991
ENBO,310020Z,280,24,,1004
ENBO,010020Z,150,13,,0986
ENBO,020020Z,330,20,,1006
ENBO,030020Z,260,8,,1006
ENBO,040020Z,270,15,,1020
ENBO,050020Z,250,20,,1011
ENBO,060020Z,260,16,,1019
ENBO,070020Z,240,17,,1020
ENBO,080020Z,230,23,,1021
ENBO,090020Z,280,21,,1026
ENBO,100020Z,110,17,,1029
ENBO,110020Z,100,9,,1020
ENBO,120020Z,110,13,,1022
ENBO,130020Z,220,24,,1008
ENBO,140020Z,280,28,,1001
ENBO,150020Z,250,20,,0995
ENBO,160020Z,260,20,,0977
ENBO,170020Z,240,17,,0971
ENBO,180020Z,40,1,,0985
ENBO,190020Z,100,14,,0993
ENBO,200020Z,110,20,,1001
ENBO,210020Z,90,20,,1006
ENBO,220020Z,40,14,,0992
ENBO,230020Z,240,25,,0984
ENBO,240020Z,280,25,,0995
ENBO,250020Z,100,17,,0979
ENBO,260020Z,30,15,,0985
ENBO,270020Z,230,18,,1009
ENBO,280020Z,100,13,,1016
ENBO,290020Z,280,25,,1008
ENBO,300020Z,320,9,,1017
ENBO,010020Z,70,7,,1003
ENBO,020020Z,350,20,,0981
ENBO,030020Z,270,25,,1003
ENBO,040020Z,90,17,,1022
ENBO,050020Z,100,20,,1014
ENBO,060020Z,100,23,,1001
ENBO,070020Z,150,10,,1002
ENBO,080020Z,160,8,,1011
ENBO,090020Z,260,15,,1033
ENBO,100020Z,240,38,48,1017
ENBO,110020Z,290,31,41,1017
ENBO,120020Z,350,15,25,1026
ENBO,130020Z,90,15,,1021
ENBO,140020Z,90,24,,0999
ENBO,150020Z,90,17,,0999
ENBO,160020Z,100,22,,0971
ENBO,170020Z,10,10,,0986
ENBO,180020Z,190,6,,1004
ENBO,190020Z,100,34,,0981
ENBO,200020Z,80,15,,0985
ENBO,210020Z,100,8,,0995
ENBO,220020Z,90,23,,0986
ENBO,230020Z,80,14,,0996
ENBO,240020Z,100,12,,1005
ENBO,250020Z,100,15,,0998
ENBO,260020Z,230,14,,1004
ENBO,270020Z,240,36,47,1010
ENBO,280020Z,240,22,,1011
ENBO,290020Z,230,22,,0992
ENBO,300020Z,290,25,,0983
ENBO,310020Z,220,16,,0994
